,game_key,winner_id,odd_team_1,odd_ml_1,odd_team_2,odd_ml_2
1387,201910061x00017b4e,12,12,-146,23,122
1388,201910071x00000438,10,10,-117,2,-102
1389,201910071x0000a6ce,22,8,-142,22,118
1390,201910081x0009583e,28,26,-243,28,199
1391,201910081x000026e2,24,3,-102,24,-118
1392,201910081x000009ac,9,4,-124,9,104
1393,201910081x0006a360,21,21,-180,29,150
1394,201910081x00020472,27,12,-168,27,142
1395,201910081x00023ecc,23,15,-169,23,142
1396,201910081x00001000,1,31,-135,1,112
1397,201910081x0001c282,19,16,-153,19,128
1398,201910091x00000140,2,2,-117,5,-103
1399,201910091x00007e0e,14,14,-129,11,107
1400,201910091x000c51fa,30,30,-165,28,139
1401,201910101x000a8d30,25,25,103,31,-124
1402,201910101x00047150,29,17,-108,29,-110
1403,201910101x000005a4,18,18,-113,1,-106
1404,201910101x0004714e,26,19,-116,26,-103
1405,201910101x00000238,3,5,-204,3,168
1406,201910101x0001b7fc,27,11,-126,27,105
1407,201910101x00022138,21,21,-140,16,117
1408,201910101x000064d8,22,6,169,22,-205
1409,201910101x00026fbe,15,15,-147,24,123
1410,201910101x00001416,7,8,-115,7,-104
1411,201910101x0003de9e,23,23,-121,20,101
1412,201910111x000000de,2,2,105,4,-126
1413,201910111x000041ac,9,9,-183,12,153
1414,201910111x0001269a,24,10,-140,24,118
1415,201910121x00000240,1,1,-216,11,178
1416,201910121x00002efc,10,9,-222,10,181
1417,201910121x0002d7a0,23,17,-134,23,112
1418,201910121x0003b7ac,18,18,-155,25,130
1419,201910121x0001c282,16,19,-119,16,-101
1420,201910121x00000502,8,3,168,8,-201
1421,201910121x000633e8,28,28,141,21,-167
1422,201910121x0001b7f6,15,20,-125,15,105
1423,201910121x00004a10,5,5,101,22,-120
1424,201910121x00001060,12,12,-116,4,-103
1425,201910121x00025708,27,13,-129,27,108
1426,201910121x00000c22,6,6,227,7,-280
1427,201910121x00034b28,30,30,-114,14,-105
1428,201910121x000b6112,31,31,-154,26,129
1429,201910131x000d20d6,31,28,132,31,-156
1430,201910131x000a0028,29,29,-127,26,105
1431,201910131x00023ecc,15,23,-122,15,102
1432,201910141x000009c4,1,1,-224,24,181
1433,201910141x00000dfe,2,2,-103,19,-116
1434,201910141x0003dea0,17,17,-119,27,-101
1435,201910141x00000df2,4,11,-107,4,-112
1436,201910141x00015c52,12,12,111,22,-132
1437,201910141x0000540a,20,6,110,20,-131
1438,201910141x0001968a,18,16,-140,18,117
1439,201910151x00027f74,26,26,-151,14,126
1440,201910151x000147ac,9,28,136,9,-162
1441,201910151x000008e8,7,5,114,7,-137
1442,201910151x00008b04,8,8,-244,20,201
1443,201910151x00003bd6,30,30,-151,3,126
1444,201910151x00078da8,21,31,-136,21,114
1445,201910151x0005eef0,25,23,-132,25,110
1446,201910161x000015e2,24,24,-134,2,112
1447,201910161x0000bc6e,10,10,-110,19,-110
1448,201910161x0002afbe,27,27,-131,14,110
1449,201910161x00016812,15,15,-112,18,-107
1450,201910161x00015eb0,29,29,-136,9,114
1451,201910161x00005b08,16,16,-126,8,105
1452,201910171x0004fc30,25,25,100,21,-120
1453,201910171x00000100,7,1,-117,7,-102
1454,201910171x00002d5e,26,26,-247,3,202
1455,201910171x00001d76,2,28,-129,2,107
1456,201910171x00003db8,5,5,-173,20,146
1457,201910171x00006dc8,11,11,-125,13,104
1458,201910171x0007bf70,30,22,-200,30,167
1459,201910171x0000c36a,31,31,-344,6,269
1460,201910171x00017b4e,12,23,-136,12,113
1461,201910181x0000f36c,24,24,104,9,-125
1462,201910181x00009894,17,17,-143,10,120
1463,201910181x000030cc,27,27,-201,3,168
1464,201910181x0000230e,18,4,-134,18,112
1465,201910181x00018f04,15,15,-148,19,123
1466,201910181x0000dc90,16,16,-237,13,194
1467,201910191x000080ec,25,25,-229,6,188
1468,201910191x00004f7e,12,10,-117,12,-102
1469,201910191x0009583e,28,28,128,26,-153
1470,201910191x00021b6e,11,11,-133,30,111
1471,201910191x00002f08,4,21,-171,4,143
1472,201910191x00015ea6,19,14,-159,19,133
1473,201910191x0003fe5c,31,15,108,31,-130
1474,201910191x00001f88,2,29,-172,2,145
1475,201910191x00004a10,5,22,-147,5,123
1476,201910191x000059da,18,7,-208,18,173
1477,201910191x00000144,8,8,-120,1,100
1478,201910201x0006f18a,26,24,-142,26,119
1479,201910201x00016cd4,16,17,119,16,-142
1480,201910201x00003db8,20,20,-120,5,100
1481,201910201x0002de68,30,13,-121,30,100
1482,201910201x0006e1c4,23,23,-137,27,114
1483,201910211x00004c36,19,19,-221,6,181
1484,201910211x0003827a,14,14,-104,31,-115
1485,201910211x0002e894,22,22,-140,18,118
1486,201910211x0000260a,10,8,-204,10,170
1487,201910221x00000144,1,1,-189,8,159
